Fixed-point accuracy study,,,,,,,,,,,,,,,,,,,,,
Clip #,Ground truth,TensorFlow,N_STO = 2,N_STO = 3,N_STO = 4,N_STO = 5,N_STO = 6,N_STO = 7,N_STO = 8,N_STO = 9,N_STO = 10,N_STO = 11,N_STO = 12,N_STO = 13,N_STO = 14,N_STO = 15,N_STO = 16,N_STO = 17,N_STO = 18,N_STO = 19,N_STO = 20
0,0,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
1,0,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
2,0,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
3,0,2,.,.,.,4,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
4,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
5,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
6,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
7,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
8,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
9,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
10,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
11,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
12,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
13,2,4,.,.,.,4,4,2,2,4,4,4,4,4,4,.,.,.,.,.,.
14,2,3,.,.,.,3,2,2,3,3,3,3,3,3,3,.,.,.,.,.,.
15,4,2,.,.,.,3,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
16,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
17,2,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
18,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
19,2,2,.,.,.,3,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
20,2,3,.,.,.,3,2,2,3,2,2,2,3,3,3,.,.,.,.,.,.
21,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
22,4,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
23,4,2,.,.,.,4,2,2,2,2,2,2,2,2,4,.,.,.,.,.,.
24,2,3,.,.,.,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.
25,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
26,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
27,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
28,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
29,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
30,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
31,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
32,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
33,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
34,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
35,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
36,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
37,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
38,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
39,4,4,.,.,.,2,2,2,2,4,4,4,4,4,4,.,.,.,.,.,.
40,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
41,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
42,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
43,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
44,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
45,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
46,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
47,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
48,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
49,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
50,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
51,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
52,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
53,2,2,.,.,.,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.
