Fixed-point accuracy study,,,,,,,,,,,,,,,,,,,,,
Clip #,Ground truth,TensorFlow,N_STO = 2,N_STO = 3,N_STO = 4,N_STO = 5,N_STO = 6,N_STO = 7,N_STO = 8,N_STO = 9,N_STO = 10,N_STO = 11,N_STO = 12,N_STO = 13,N_STO = 14,N_STO = 15,N_STO = 16,N_STO = 17,N_STO = 18,N_STO = 19,N_STO = 20
0,0,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
1,0,2,.,.,.,4,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
2,0,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
3,0,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
4,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
5,4,4,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
6,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
7,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
8,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
9,4,4,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
10,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
11,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
12,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
13,2,4,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
14,2,3,.,.,.,4,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
15,4,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
16,4,4,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
17,2,3,.,.,.,4,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
18,2,2,.,.,.,4,4,4,3,4,4,4,4,4,4,.,.,.,.,.,.
19,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
20,2,3,.,.,.,4,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
21,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
22,4,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
23,4,2,.,.,.,4,4,4,2,4,4,2,4,4,4,.,.,.,.,.,.
24,2,3,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
25,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
26,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
27,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
28,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
29,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
30,2,2,.,.,.,2,2,4,2,4,2,4,4,4,4,.,.,.,.,.,.
31,2,2,.,.,.,4,4,4,4,2,4,4,4,4,4,.,.,.,.,.,.
32,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
33,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
34,2,2,.,.,.,4,3,4,3,2,2,2,2,2,2,.,.,.,.,.,.
35,2,2,.,.,.,4,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
36,2,2,.,.,.,4,4,4,2,4,2,2,2,4,4,.,.,.,.,.,.
37,2,2,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
38,2,2,.,.,.,4,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
39,4,4,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
40,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
41,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
42,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
43,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
44,2,2,.,.,.,4,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
45,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
46,2,2,.,.,.,4,2,4,2,2,2,2,4,2,4,.,.,.,.,.,.
47,2,2,.,.,.,4,4,4,2,4,4,4,4,4,4,.,.,.,.,.,.
48,2,2,.,.,.,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
49,2,2,.,.,.,4,4,4,2,2,4,2,2,2,2,.,.,.,.,.,.
50,2,2,.,.,.,4,2,4,2,4,4,4,4,4,4,.,.,.,.,.,.
