Fixed-point accuracy study,,,,,,,,,,,,,,,,,,,,,
Clip #,Ground truth,TensorFlow,N_STO = 2,N_STO = 3,N_STO = 4,N_STO = 5,N_STO = 6,N_STO = 7,N_STO = 8,N_STO = 9,N_STO = 10,N_STO = 11,N_STO = 12,N_STO = 13,N_STO = 14,N_STO = 15,N_STO = 16,N_STO = 17,N_STO = 18,N_STO = 19,N_STO = 20
0,0,2,.,.,.,2,4,4,2,2,2,2,2,2,2,.,.,.,.,.,.
1,0,2,.,.,.,2,2,3,3,4,4,2,4,4,4,.,.,.,.,.,.
2,0,4,.,.,.,2,4,4,4,2,4,2,2,4,2,.,.,.,.,.,.
3,0,2,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
4,4,4,.,.,.,2,4,4,4,2,4,4,4,4,4,.,.,.,.,.,.
5,4,4,.,.,.,2,2,4,4,4,4,4,4,4,4,.,.,.,.,.,.
6,4,4,.,.,.,2,2,2,2,2,2,2,2,4,2,.,.,.,.,.,.
7,4,4,.,.,.,2,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.
8,4,4,.,.,.,2,2,4,4,2,2,2,2,2,2,.,.,.,.,.,.
9,4,4,.,.,.,2,4,4,2,2,2,4,4,4,4,.,.,.,.,.,.
10,4,4,.,.,.,2,4,4,4,2,4,4,4,4,2,.,.,.,.,.,.
11,4,4,.,.,.,2,4,4,2,2,4,4,4,4,4,.,.,.,.,.,.
12,4,4,.,.,.,2,4,4,2,2,4,4,4,4,2,.,.,.,.,.,.
13,2,4,.,.,.,2,4,4,4,2,2,2,2,4,4,.,.,.,.,.,.
14,2,3,.,.,.,2,2,4,4,2,4,2,4,4,2,.,.,.,.,.,.
15,4,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
16,4,4,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
17,2,3,.,.,.,2,4,4,2,2,2,4,4,4,4,.,.,.,.,.,.
18,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
19,2,2,.,.,.,2,2,4,2,2,2,2,2,2,2,.,.,.,.,.,.
